2024-04-22 23:47:26 status unpacked libgpg-error0:amd64 1.47-3build2
2024-04-22 23:47:26 install liblz4-1:amd64 <none> 1.9.4-1build1
2024-04-22 23:47:26 status half-installed liblz4-1:amd64 1.9.4-1build1
2024-04-22 23:47:26 status unpacked liblz4-1:amd64 1.9.4-1build1
2024-04-22 23:47:26 install liblzma5:amd64 <none> 5.6.1+really5.4.5-1
2024-04-22 23:47:26 status half-installed liblzma5:amd64 5.6.1+really5.4.5-1
2024-04-22 23:47:27 status unpacked liblzma5:amd64 5.6.1+really5.4.5-1
2024-04-22 23:47:27 install libmd0:amd64 <none> 1.1.0-2build1
2024-04-22 23:47:27 status half-installed libmd0:amd64 1.1.0-2build1
2024-04-22 23:47:27 status unpacked libmd0:amd64 1.1.0-2build1
2024-04-22 23:47:27 install libmount1:amd64 <none> 2.39.3-9ubuntu6
2024-04-22 23:47:27 status half-installed libmount1:amd64 2.39.3-9ubuntu6
2024-04-22 23:47:27 status unpacked libmount1:amd64 2.39.3-9ubuntu6
2024-04-22 23:47:27 install libncursesw6:amd64 <none> 6.4+20240113-1ubuntu2
2024-04-22 23:47:27 status half-installed libncursesw6:amd64 6.4+20240113-1ubuntu2
2024-04-22 23:47:27 status unpacked libncursesw6:amd64 6.4+20240113-1ubuntu2
2024-04-22 23:47:27 install libpam-modules:amd64 <none> 1.5.3-5ubuntu5
2024-04-22 23:47:27 status half-installed libpam-modules:amd64 1.5.3-5ubuntu5
2024-04-22 23:47:27 status unpacked libpam-modules:amd64 1.5.3-5ubuntu5
2024-04-22 23:47:27 install libpam-modules-bin:amd64 <none> 1.5.3-5ubuntu5
2024-04-22 23:47:27 status half-installed libpam-modules-bin:amd64 1.5.3-5ubuntu5
2024-04-22 23:47:27 status unpacked libpam-modules-bin:amd64 1.5.3-5ubuntu5
2024-04-22 23:47:27 install libpam-runtime:all <none> 1.5.3-5ubuntu5
2024-04-22 23:47:27 status half-installed libpam-runtime:all 1.5.3-5ubuntu5
